,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,,
,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
ht base,0.8673269130949247,0.7242350632599912,0.7066863805061153,0.696159372783524,1280.0187891641813,77.85988452875613,147.53070165564642,48.888518432958776,1055.8247944406908,65.50623657476407,121.54377838579921,41.5236079514881,1026.4214138370007,64.27499696964856,118.10690552647182,40.5735259350604,1007.8965298908113,62.70079360947422,117.98313888827553,40.04665925685568,0.682918887647324,0.5852036915532886,0.5741384717252679,0.5753885737962058,66.8110442807916,6.1820376513422275,8.398384309805678,2.5927499924787316,56.66056080101812,5.246015598678,7.234331034928598,2.2630271895057956,55.31343097019014,5.119827870932037,7.154105828103593,2.231721750141579,55.440434708099104,5.110436705960535,7.206827516134666,2.238455003054738,27.572317748016694,51.174281230720965
reranked_100 ht base,0.8797575859346716,0.7562040067060254,0.7301315943799329,0.7175263660830397,1329.6078246834056,77.46023326386306,151.31646171227243,48.84881451311156,1119.9535377650036,67.48622558707993,130.2957753685737,42.23368054052428,1078.0754263503807,65.05869691723197,125.90058376523997,40.95768276074433,1055.3380785125873,63.6053688410179,124.57145136467497,40.40246434958043,0.5706324718336786,0.5526153477569935,0.5477084097444673,0.5509842094768047,55.06920891301542,5.052767919507098,7.214743680720265,2.208704677587341,53.850513178709974,4.930806516955743,6.9444751871717285,2.1090556115828263,53.38325682804973,4.865084896433661,6.903086574339718,2.096843298636303,53.47932056718822,4.874631773419362,6.994616269871661,2.116371701175722,24.629994864060386,44.140910771539474
tfood base_wo_clip _recipe_only,0.898348149745408,0.7350849649262138,0.7131707971569861,0.7064019199622688,1330.6984005436325,81.10532748425841,150.73139517056555,50.73682929504477,1067.177020396155,66.70013519921024,124.05265453701742,41.96991767382866,1031.1397590789056,64.0524131838992,121.79994118918654,40.92678454636733,1017.6806992341047,63.3311068792753,120.36743471867291,40.85942297914594,0.7223446256761559,0.6063364785435588,0.5959137779768682,0.5985137178542447,71.19509174910539,6.494010378419238,8.949240096171552,2.730579014784571,58.33701333719715,5.413741655381201,7.592007525024294,2.3474067212827032,57.335050964833655,5.336747737151714,7.428724883091447,2.3062560488122332,57.36495163457083,5.305320270657471,7.551443758347834,2.332483006138943,26.305373728542396,49.07542793111553
reranked_100 tfood base_wo_clip _recipe_only,0.8958735480896983,0.7596852165777829,0.7311211291496662,0.7182161503349965,1355.4096548770826,78.19279138167096,153.45342272528623,50.370961567004,1124.8521794201715,67.78978933866559,129.55392698475822,42.85586746747858,1078.0712593129974,65.22397480522659,125.59462398872785,41.16580990909127,1050.9332642895654,63.698898752604826,124.16275845798944,40.808601976197366,0.5685771307731515,0.5526014731067619,0.5478030091941222,0.5521782181966057,54.88755100471209,5.039684874885688,7.252229533774087,2.1821047036987995,53.9683172404579,4.924537747659245,6.948101516420698,2.1068363265709125,53.466182870776144,4.872143438871696,6.87529371306147,2.0980045882313374,53.72182629742714,4.878748446334336,6.956861790740884,2.132297158684651,24.429321839895472,43.76031495320054
tfood base_w_clip _recipe_only,0.9033020336003378,0.7404407870312304,0.7173252523937231,0.7088238482479093,1336.784581624629,80.91685671200773,153.67055010620362,50.87922265965296,1074.6916587153366,66.08814389419422,126.6697044298988,42.54993145120061,1042.3970764795667,63.72968103143106,124.16709866100065,40.93524114296153,1026.7485391551636,63.0716182953409,123.1322145523535,40.3850073833044,0.7379220370540476,0.6166307235118653,0.6031320250770356,0.6077902515921526,72.785555351056,6.431658603307199,9.358802217459354,2.8442143599628142,59.964144757499405,5.45323429885577,7.840423572849767,2.3623821249019405,58.4028885973175,5.325959782539829,7.665285827811854,2.325269846620657,58.64684960215628,5.352131097752181,7.725566932583604,2.3589456201248393,26.191427511299842,48.7771146441468
reranked_100 tfood base_w_clip _recipe_only,0.8976188187032322,0.7583945355245707,0.7349815267592555,0.7215789332411973,1361.4839910558705,78.97968332428073,153.409501575665,49.97358382644196,1124.0854143211036,67.7694264329874,129.57989345826718,42.59116662648842,1084.9806369373875,65.54964039175589,126.63659416515243,41.22906523113224,1057.9642796089593,63.9431296483134,125.06564090637883,40.85086896704649,0.5698897253839331,0.554097413054011,0.548013506069096,0.5547495091288832,55.18500419954532,5.048002055177033,7.216460668546815,2.1950125023935105,54.058465463568936,4.94754300121911,6.927971660797205,2.1188324546570447,53.46281675676302,4.88459122118308,6.863893106275212,2.0974097391131123,53.770965279447346,4.898416817472137,6.989787035938623,2.1514324602462986,24.529051475644923,43.892054766392455
vlp org_finetuned_recipe1m _recipe_only,0.9222691886703112,0.7464710834554399,0.7229538893149148,0.7181236486509145,1362.607710267999,83.04017104961832,154.49264686254497,52.47538954332966,1086.4256850480374,66.79327268243465,127.95932444323881,42.571693333494444,1049.7515666013005,64.86526470740165,123.12688401689745,41.45281886459495,1037.8320291010634,64.0430141767468,123.30523976343274,41.354813650421555,0.7572087904311928,0.6336354115263336,0.621312504944572,0.6278963366245179,74.01616826342162,6.826731534407065,9.304593704394376,2.8939368169904447,61.43033167602175,5.686226126822123,7.8778244315876575,2.4332210173485627,59.798097984050536,5.541668892835132,7.815107682352355,2.3991759081146657,60.512623116458606,5.550695984446166,7.970513941505505,2.4308005419590772,25.59700275980928,46.96219898597827
reranked_100 vlp org_finetuned_recipe1m _recipe_only,0.8843623603966879,0.7591603262459732,0.7311007566476395,0.7221575508336653,1338.714404031865,77.5916373377249,152.06627428182378,49.22390961507535,1125.2683260119184,67.60055708995526,130.5070080877996,42.55828821070275,1081.4001590485243,65.12932541272453,126.68439610375682,40.75426288721549,1059.875598941109,63.956609024295695,125.5000349550295,40.76344449400076,0.5689563167335242,0.5538411320210187,0.548779604385125,0.5561028616311368,54.93926666359483,5.033320707347115,7.189380822872468,2.2044797204328064,54.08945692336434,4.929077645613386,6.921709044996967,2.1251491699883402,53.540841602934954,4.881025210459029,6.884447906758517,2.103175432613014,53.76276205866382,4.909889451264957,7.026162239152266,2.157627823386418,24.44108178745002,43.46766945100812
