,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,,
,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
ht base,0.8673269130949247,0.7242350632599912,0.7066863805061153,0.696159372783524,1280.0187891641813,77.85988452875613,147.53070165564642,48.888518432958776,1055.8247944406908,65.50623657476407,121.54377838579921,41.5236079514881,1026.4214138370007,64.27499696964856,118.10690552647182,40.5735259350604,1007.8965298908113,62.70079360947422,117.98313888827553,40.04665925685568,0.682918887647324,0.5852036915532886,0.5741384717252679,0.5753885737962058,66.8110442807916,6.1820376513422275,8.398384309805678,2.5927499924787316,56.66056080101812,5.246015598678,7.234331034928598,2.2630271895057956,55.31343097019014,5.119827870932037,7.154105828103593,2.231721750141579,55.440434708099104,5.110436705960535,7.206827516134666,2.238455003054738,27.572317748016694,51.174281230720965
reranked_100_direct ht base,0.8663298816697911,0.7455222133733169,0.7238424615495379,0.7274279842788149,1302.5702675799566,74.10449429973602,151.3613926916447,49.226755458187455,1099.0959864292317,65.50502694000488,128.81656276027823,42.47723885043729,1064.3943513667787,63.35000743538854,126.50019903953174,41.09841848675502,1064.0300557004623,63.686627290085156,126.8860283600503,41.59703279323674,0.5538900710821899,0.5422615545799175,0.5422593130222072,0.5724589229162161,53.39823288757844,4.866909818416715,7.082078041515558,2.147263608231205,52.60512983538659,4.766909742344685,6.894048263213235,2.0979182129153178,52.716022005349046,4.758196654077917,6.903855936088218,2.0959719687440783,55.21425603433418,5.000041658458831,7.314474146536952,2.2356246431371303,26.36980220221702,47.081120358914205
tfood base_wo_clip _recipe_only,0.898348149745408,0.7350849649262138,0.7131707971569861,0.7064019199622688,1330.6984005436325,81.10532748425841,150.73139517056555,50.73682929504477,1067.177020396155,66.70013519921024,124.05265453701742,41.96991767382866,1031.1397590789056,64.0524131838992,121.79994118918654,40.92678454636733,1017.6806992341047,63.3311068792753,120.36743471867291,40.85942297914594,0.7223446256761559,0.6063364785435588,0.5959137779768682,0.5985137178542447,71.19509174910539,6.494010378419238,8.949240096171552,2.730579014784571,58.33701333719715,5.413741655381201,7.592007525024294,2.3474067212827032,57.335050964833655,5.336747737151714,7.428724883091447,2.3062560488122332,57.36495163457083,5.305320270657471,7.551443758347834,2.332483006138943,26.305373728542396,49.07542793111553
reranked_100_direct tfood base_wo_clip _recipe_only,0.8777299416364448,0.74869170352406,0.723539825585326,0.7308708081185139,1323.0094745002827,75.93434845072692,151.63677267673646,49.64810043408082,1107.6092360984685,65.75256834276124,129.39572522409387,42.50855206612306,1064.5023727502314,63.43653060205316,125.69213895872521,41.208508308108144,1067.3391237021476,63.7897497018429,127.77637948671237,41.92023026491825,0.5576325144582887,0.538671984773226,0.5405418148204071,0.5764749061950021,53.746021950740655,4.868438529933925,7.138724119625259,2.1770274539341,52.42251998579453,4.748743821815972,6.8219146268487245,2.0768567054264877,52.60434737438622,4.760967590429318,6.875230888232336,2.079241701137674,55.76582095854908,5.031700338177698,7.342719327618954,2.252407184102554,26.596847182127064,47.818332020473036
tfood base_w_clip _recipe_only,0.9033020336003378,0.7404407870312304,0.7173252523937231,0.7088238482479093,1336.784581624629,80.91685671200773,153.67055010620362,50.87922265965296,1074.6916587153366,66.08814389419422,126.6697044298988,42.54993145120061,1042.3970764795667,63.72968103143106,124.16709866100065,40.93524114296153,1026.7485391551636,63.0716182953409,123.1322145523535,40.3850073833044,0.7379220370540476,0.6166307235118653,0.6031320250770356,0.6077902515921526,72.785555351056,6.431658603307199,9.358802217459354,2.8442143599628142,59.964144757499405,5.45323429885577,7.840423572849767,2.3623821249019405,58.4028885973175,5.325959782539829,7.665285827811854,2.325269846620657,58.64684960215628,5.352131097752181,7.725566932583604,2.3589456201248393,26.191427511299842,48.7771146441468
reranked_100_direct tfood base_w_clip _recipe_only,0.865784337736365,0.7517556913084364,0.7250016458238229,0.7330296084279273,1302.0054977139625,74.32557455244275,151.66748202992875,48.869358090195504,1107.2019547588131,65.74833119647796,130.9374014611158,42.77645614175211,1066.0935735047933,63.549171311102306,126.63204300827977,41.11594729868315,1071.124569055152,64.03244795173767,129.19096084863563,41.66002393042807,0.5573105346521042,0.5423987257733135,0.5429291447267788,0.5810756038557005,53.930039252438775,4.88737508239687,7.0508881683715785,2.175956829230858,52.787460484163724,4.787626194683236,6.836502836020058,2.095730783892106,52.83403834538941,4.798369794180336,6.855721455811649,2.0916998065449794,56.21503529493083,5.088871527149963,7.342565676320469,2.2751877334424253,26.51890091935171,47.20019085302415
vlp org_finetuned_recipe1m _recipe_only,0.9222691886703112,0.7464710834554399,0.7229538893149148,0.7181236486509145,1362.607710267999,83.04017104961832,154.49264686254497,52.47538954332966,1086.4256850480374,66.79327268243465,127.95932444323881,42.571693333494444,1049.7515666013005,64.86526470740165,123.12688401689745,41.45281886459495,1037.8320291010634,64.0430141767468,123.30523976343274,41.354813650421555,0.7572087904311928,0.6336354115263336,0.621312504944572,0.6278963366245179,74.01616826342162,6.826731534407065,9.304593704394376,2.8939368169904447,61.43033167602175,5.686226126822123,7.8778244315876575,2.4332210173485627,59.798097984050536,5.541668892835132,7.815107682352355,2.3991759081146657,60.512623116458606,5.550695984446166,7.970513941505505,2.4308005419590772,25.59700275980928,46.96219898597827
reranked_100_direct vlp org_finetuned_recipe1m _recipe_only,0.859842329433977,0.7510618762195532,0.7246901556052,0.737504557931795,1295.9075649878303,73.98233603207517,149.13789991167698,48.751384398922966,1112.1256827783395,65.73333274740803,129.76821641044262,42.77538539236462,1064.7531311361731,63.476349333029596,126.56866354590724,41.170933717836995,1076.4417196905563,64.38217262900756,129.0289081952274,42.28724555692356,0.5557545164707032,0.5410484200388286,0.5424945496591167,0.5886770428497526,53.54471473888895,4.871298816116138,7.067354039725464,2.171484469202473,52.51125523784493,4.7847963983152875,6.782016432010309,2.100166723468755,52.57502073225374,4.765144258431363,6.866310390484776,2.110266069326025,56.399581131862796,5.10151577412797,7.520442806396358,2.3353821975594515,26.335142041406296,46.78226147849207
