,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,,
,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
ht base,0.8673269130949247,0.7242350632599912,0.7066863805061153,0.696159372783524,1280.0187891641813,77.85988452875613,147.53070165564642,48.888518432958776,1055.8247944406908,65.50623657476407,121.54377838579921,41.5236079514881,1026.4214138370007,64.27499696964856,118.10690552647182,40.5735259350604,1007.8965298908113,62.70079360947422,117.98313888827553,40.04665925685568,0.682918887647324,0.5852036915532886,0.5741384717252679,0.5753885737962058,66.8110442807916,6.1820376513422275,8.398384309805678,2.5927499924787316,56.66056080101812,5.246015598678,7.234331034928598,2.2630271895057956,55.31343097019014,5.119827870932037,7.154105828103593,2.231721750141579,55.440434708099104,5.110436705960535,7.206827516134666,2.238455003054738,27.572317748016694,51.174281230720965
reranked_100_weighted ht base 0.3,0.8093327246653408,0.7262672522632372,0.7116586379521194,0.7024972573255932,1206.1449731168252,71.49685878069519,140.38385175268328,45.12310475215032,1074.9437342108006,64.49414699096177,126.06665643957302,40.53519071460748,1050.8448566409995,63.11256393896911,123.42897830011388,39.916071571111594,1035.2918174078102,62.20706758060599,122.26879124893034,39.422819225686034,0.5701298272211364,0.5418212661841119,0.5365839392613012,0.534333909875935,54.987823164202105,5.048684706371692,7.237455281055329,2.2008345067638313,52.77469898632408,4.8176583766868415,6.828590729841845,2.073087662982811,52.20731235390121,4.768592898016453,6.767440523951009,2.055416620200634,51.79984635557495,4.729498985601758,6.7666251493760505,2.057665172605794,35.159393742130106,54.1529105256339
tfood base_wo_clip _recipe_only,0.898348149745408,0.7350849649262138,0.7131707971569861,0.7064019199622688,1330.6984005436325,81.10532748425841,150.73139517056555,50.73682929504477,1067.177020396155,66.70013519921024,124.05265453701742,41.96991767382866,1031.1397590789056,64.0524131838992,121.79994118918654,40.92678454636733,1017.6806992341047,63.3311068792753,120.36743471867291,40.85942297914594,0.7223446256761559,0.6063364785435588,0.5959137779768682,0.5985137178542447,71.19509174910539,6.494010378419238,8.949240096171552,2.730579014784571,58.33701333719715,5.413741655381201,7.592007525024294,2.3474067212827032,57.335050964833655,5.336747737151714,7.428724883091447,2.3062560488122332,57.36495163457083,5.305320270657471,7.551443758347834,2.332483006138943,26.305373728542396,49.07542793111553
reranked_100_weighted tfood base_wo_clip _recipe_only 0.3,0.8197979485028606,0.729449854453155,0.7090972315007054,0.699175324807082,1225.9380491022332,72.44440163212454,140.89988646929388,45.91195928097577,1079.3190598800857,64.86147275124698,126.47033787192731,40.71173358213141,1043.6251727682422,63.21114687583816,122.44697839653834,39.84821603818607,1027.2539487857612,61.92578199077456,121.6008833007962,39.387097984216744,0.5674375516539039,0.5368193099982671,0.5321317651816055,0.5311730481551644,54.89086869290438,5.017952691973034,7.209641871244508,2.1863944038096417,52.30058901383176,4.7753154030398965,6.7564669612802915,2.0544839925582594,51.81019142474098,4.730601689483866,6.6984078805620415,2.0392306347352114,51.3878110376265,4.710693534132569,6.7031472017138505,2.0502341669798074,35.96359487318986,55.22454364621149
tfood base_w_clip _recipe_only,0.9033020336003378,0.7404407870312304,0.7173252523937231,0.7088238482479093,1336.784581624629,80.91685671200773,153.67055010620362,50.87922265965296,1074.6916587153366,66.08814389419422,126.6697044298988,42.54993145120061,1042.3970764795667,63.72968103143106,124.16709866100065,40.93524114296153,1026.7485391551636,63.0716182953409,123.1322145523535,40.3850073833044,0.7379220370540476,0.6166307235118653,0.6031320250770356,0.6077902515921526,72.785555351056,6.431658603307199,9.358802217459354,2.8442143599628142,59.964144757499405,5.45323429885577,7.840423572849767,2.3623821249019405,58.4028885973175,5.325959782539829,7.665285827811854,2.325269846620657,58.64684960215628,5.352131097752181,7.725566932583604,2.3589456201248393,26.191427511299842,48.7771146441468
reranked_100_weighted tfood base_w_clip _recipe_only 0.3,0.8135641122925281,0.7248625133163287,0.7136819843837519,0.7040560541282163,1212.7147350103364,71.83675307452694,140.37028136599343,45.60172545914233,1070.4273671627568,64.79318932226461,125.03139323955428,40.49784675529133,1053.9587234267717,63.54520943787331,123.9666271889816,39.78495287309217,1033.6815298971524,62.22458088206643,123.37866923839535,39.50417691590166,0.567956037387655,0.5398056499986642,0.5351533775842046,0.5352162298415046,55.09964538927619,5.014793800880834,7.213252079700323,2.1872049388106096,52.655044585776594,4.819702936372199,6.761760978633773,2.0616534793215164,52.134792827262245,4.762261858209283,6.721158690123813,2.0507377378618443,51.97933274652259,4.74300102154153,6.75108786614054,2.060823676062493,35.711247353081816,54.725686576108416
vlp org_finetuned_recipe1m _recipe_only,0.9222691886703112,0.7464710834554399,0.7229538893149148,0.7181236486509145,1362.607710267999,83.04017104961832,154.49264686254497,52.47538954332966,1086.4256850480374,66.79327268243465,127.95932444323881,42.571693333494444,1049.7515666013005,64.86526470740165,123.12688401689745,41.45281886459495,1037.8320291010634,64.0430141767468,123.30523976343274,41.354813650421555,0.7572087904311928,0.6336354115263336,0.621312504944572,0.6278963366245179,74.01616826342162,6.826731534407065,9.304593704394376,2.8939368169904447,61.43033167602175,5.686226126822123,7.8778244315876575,2.4332210173485627,59.798097984050536,5.541668892835132,7.815107682352355,2.3991759081146657,60.512623116458606,5.550695984446166,7.970513941505505,2.4308005419590772,25.59700275980928,46.96219898597827
reranked_100_weighted vlp org_finetuned_recipe1m _recipe_only 0.3,0.8123313285018788,0.7287580674283434,0.7118259657143517,0.7048772443381727,1215.5045395666486,72.11345747628387,140.5033500056224,44.95440477777458,1077.3542761143585,64.65900507347253,126.88061340019183,40.651339901556,1050.3274986628685,63.05407908069773,124.16233082859091,39.79417550942349,1036.5422317915854,62.214809725338824,123.63783134078406,39.50431582370212,0.5664459025532488,0.5393819006779285,0.5356342015060894,0.5353916879194981,54.78100412573356,5.006827286432462,7.169030908374951,2.1911058469902542,52.42359750537077,4.799682886796707,6.741026696838197,2.07975308069686,52.04738347400024,4.775928328068413,6.699859774529354,2.0592355035588072,51.827185646380705,4.74856861051548,6.749732190476795,2.0666716172476947,36.00510932621505,54.7232182419978
