,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per recipe,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,per 100 g,iou,weighted_iou
,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,mase@1,mase@5,mase@10,mase@20,mae@1,mae@1,mae@1,mae@1,mae@5,mae@5,mae@5,mae@5,mae@10,mae@10,mae@10,mae@10,mae@20,mae@20,mae@20,mae@20,,
,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,,,,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,energy,fat,carb,protein,,
 reranked_100_weighted deep_ht direct_ingrs_3_branches no_nutr food_test_recipe_only 0.0,0.8534908150513958,0.75761177252802,0.734637134636617,0.7267444127195646,1261.472252222164,75.05040083446667,149.91171697415814,47.702934764816874,1112.0232927341965,66.91064202157426,132.7463055622473,42.56056286264051,1073.5502226904728,65.23465267671422,126.68114373004293,41.84240496736572,1063.7199074118284,64.43774267084538,126.19836630487248,41.12053012419559,0.6790314055270267,0.5976087191403738,0.5861382153305897,0.5828603579500595,66.21633592317237,5.922201031396955,8.66068033024181,2.6325502004366834,57.626271817507835,5.254883711562629,7.621499578426791,2.3188811084711793,56.604526483662426,5.13018156572223,7.500888463331033,2.277803004393194,56.18881285843586,5.089578515000639,7.4650946545334005,2.273790990772107,35.724599279189846,54.49492320759576
 reranked_100_weighted deep_ht direct_ingrs_3_branches no_nutr food_test_recipe_only 0.1,0.8290153649166565,0.7309591526516279,0.7150787372550911,0.7106914700453016,1227.1010647893509,72.12352898373962,145.43738132887074,46.869502220411114,1077.2823125200193,64.14683426375318,128.004898845599,41.19524591142653,1052.3518951176684,62.73743351837214,124.9615393760183,40.456447170572396,1042.8907667613341,62.297418612505034,124.7561506438516,40.202153439232816,0.6094387869449718,0.5567525166481457,0.5466377399287037,0.547630571344311,58.708660175624054,5.298368968287906,7.896111628987035,2.3698570224501934,53.622446365058174,4.864485432013605,7.202043756083136,2.155144855352544,52.567006847194406,4.76982436611256,7.076689404161655,2.1211638441767415,52.68566280777028,4.7837440961521205,7.064822498835773,2.1272413557324015,35.62530260990254,54.778297277280664
 reranked_100_weighted deep_ht direct_ingrs_3_branches no_nutr food_test_recipe_only 0.2,0.8209352307896227,0.7235413958882344,0.7111631983512554,0.7041871796742523,1219.3954670123946,71.98549973406188,142.44579947135676,46.310536677519906,1068.6839725929356,63.88587102106118,125.45935538249141,40.78118756140743,1048.093770225126,62.718546367562645,123.61363305495362,40.14192581292527,1036.9717414018628,61.91011588328087,123.02856693841845,39.729844238447555,0.583796823928202,0.5435625104124077,0.5380177572449509,0.537012439958781,55.838800820691375,5.119057676619013,7.508852964823951,2.2751965525450366,52.4861373940759,4.805121562700731,6.935615094852092,2.0919125582716664,52.00285357457706,4.737311306870494,6.859979748357691,2.0798663220894706,51.93306933125397,4.73071934559377,6.861018280418218,2.0703861601894027,35.6784317906339,54.83948267244475
 reranked_100_weighted deep_ht direct_ingrs_3_branches no_nutr food_test_recipe_only 0.3,0.8124085498226987,0.729622644908476,0.7115706115018031,0.7025899797978743,1210.2319120621876,71.44983842037956,140.67412052386646,45.61927161137303,1079.4490611691947,64.7937146220696,125.64082919331842,41.0502198586812,1050.116527750383,63.12454972858378,122.95649576029861,40.062463509744475,1035.1607604089738,62.049092194325375,122.17302780998044,39.59308604169624,0.5697460771279301,0.5407304490092166,0.5372792343634643,0.5346498131310055,54.785445379428126,5.037517502900276,7.233798620324119,2.209569106572508,52.345800114110496,4.800869569727453,6.848234355416863,2.0770507367198285,52.26277089704918,4.758007233530239,6.796492457997313,2.0626929973017747,51.96361478171791,4.725917584173472,6.763704545185577,2.0588817545187763,35.14359545668126,54.2085444930493
 reranked_100_weighted deep_ht direct_ingrs_3_branches no_nutr food_test_recipe_only 0.4,0.8094493265029612,0.7352672522627317,0.7143822489419092,0.7032922120777951,1208.382391095362,71.5247384885525,140.1395941214362,45.111193275850404,1089.4743932134409,65.59043587668101,126.03031643848664,41.2637033582869,1055.3336559804695,63.5714672261719,123.11157027437905,40.13535907807299,1036.257794078373,62.283091112764154,121.848271307452,39.64359302243806,0.5629944194899652,0.5420228955065065,0.5383364807752153,0.535174753906877,54.220941627210955,4.994264326695867,7.105707011017305,2.181477375903605,52.71895327546263,4.837247147496975,6.7990195564465,2.0748849578267423,52.5778786452417,4.795228667883681,6.740976220935442,2.060194403020125,52.23982515095706,4.746787929926852,6.733766355889687,2.0523435926088385,34.59677978551199,53.7693322888666
 reranked_100_weighted deep_ht direct_ingrs_3_branches no_nutr food_test_recipe_only 0.5,0.8187975543214078,0.7329851918190771,0.7185285242261337,0.7033364767779009,1227.3729891399782,72.75000877368745,141.13171697205473,45.32532254386553,1084.4305368273128,65.55196177531138,125.95232341625038,40.99090629308716,1062.0533660345811,64.12000723477877,123.52948575683246,40.3052434364934,1036.0444372377403,62.52658951189858,121.33835066883904,39.64451787507718,0.5610687983085139,0.5426166346839288,0.5396637747765383,0.5372246023649258,54.271552732692506,5.003415509560939,7.075603060760542,2.1522616622055173,53.0418745779102,4.853499019969393,6.761478898334693,2.0719285768931814,52.87438438233143,4.822263116826747,6.727183771498387,2.058012041660836,52.60155003233395,4.778412633743389,6.717990718779946,2.056775181961278,33.72808696175544,52.91537468805731
 reranked_100_weighted deep_ht direct_ingrs_3_branches no_nutr food_test_recipe_only 0.6,0.8271696488025947,0.731717039202579,0.7193432599709806,0.7043717759738013,1242.1549492872052,73.44982913212071,141.90282867287328,45.93260173819343,1084.5807567968293,65.66814361863938,125.30522948022035,40.801325016294676,1063.4943812008994,64.27395532855263,123.54482082100257,40.32086737835883,1037.3006351562942,62.79319620491012,120.95789534579129,39.76034476065754,0.5594728849256914,0.5439577116583404,0.5407554135876256,0.5383285609107242,54.19236111738559,4.994688460199413,7.045398230313948,2.1427231029284624,53.28900014832701,4.876728989686591,6.766160208647281,2.069455241271128,53.08308199859762,4.838797419179868,6.71840604877526,2.0600132699125884,52.759187376109296,4.802023987032814,6.703886597025882,2.058391513027579,32.60507403037844,51.73008421428836
 reranked_100_weighted deep_ht direct_ingrs_3_branches no_nutr food_test_recipe_only 0.7,0.8298270390607251,0.7352474801411498,0.7217283720664178,0.7040597899485881,1248.8830518578793,73.25805797236845,142.918356113759,46.100437082074095,1090.2860370454548,65.79876788346763,126.2255224274278,41.01520746923023,1066.03105636602,64.69316067406182,123.57983364185866,40.46312907706976,1036.2238220683043,62.783780504407055,120.86298206441771,39.768215598693274,0.5606852207314165,0.546721875587101,0.542461102555986,0.5392883823759771,54.536766090902965,5.00924697817777,7.055098088557933,2.1380090538848866,53.67562801356792,4.898474777763195,6.802589073823763,2.076680691674843,53.338915988599965,4.856954869254356,6.738185735209887,2.061910524789966,52.89897300679068,4.814130971746105,6.7025007629390885,2.061610001447508,30.953399064497937,50.022916750522825
